dane,codigo,municipio,departamento,pregunta_numero,potencial,validos,nulos,no_marcados,si,no,fraccion_potencial
91263,60010,El Encanto,Amazonas,1,776,95,0,1,93,2,0.12371134020618557
91263,60010,El Encanto,Amazonas,2,776,95,0,1,92,3,0.12371134020618557
91263,60010,El Encanto,Amazonas,3,776,95,0,1,93,2,0.12371134020618557
91263,60010,El Encanto,Amazonas,4,776,91,0,5,90,1,0.12371134020618557
91263,60010,El Encanto,Amazonas,5,776,94,0,2,93,1,0.12371134020618557
91263,60010,El Encanto,Amazonas,6,776,94,0,2,92,2,0.12371134020618557
91263,60010,El Encanto,Amazonas,7,776,94,0,2,92,2,0.12371134020618557
91405,60013,La Chorrera,Amazonas,1,1059,316,3,6,311,5,0.3068932955618508
91405,60013,La Chorrera,Amazonas,2,1059,315,3,7,309,6,0.3068932955618508
91405,60013,La Chorrera,Amazonas,3,1059,314,3,8,309,5,0.3068932955618508
91405,60013,La Chorrera,Amazonas,4,1059,314,3,8,310,4,0.3068932955618508
91405,60013,La Chorrera,Amazonas,5,1059,315,3,7,310,5,0.3068932955618508
91405,60013,La Chorrera,Amazonas,6,1059,313,3,9,307,6,0.3068932955618508
91405,60013,La Chorrera,Amazonas,7,1059,310,4,11,301,9,0.3068932955618508
91407,60016,La Pedrera,Amazonas,1,966,77,0,4,76,1,0.08385093167701864
91407,60016,La Pedrera,Amazonas,2,966,77,0,4,76,1,0.08385093167701864
91407,60016,La Pedrera,Amazonas,3,966,76,0,5,76,0,0.08385093167701864
91407,60016,La Pedrera,Amazonas,4,966,77,0,4,77,0,0.08385093167701864
91407,60016,La Pedrera,Amazonas,5,966,75,1,5,75,0,0.08385093167701864
91407,60016,La Pedrera,Amazonas,6,966,76,0,5,76,0,0.08385093167701864
91407,60016,La Pedrera,Amazonas,7,966,76,0,5,76,0,0.08385093167701864
91430,60017,La Victoria,Amazonas,1,61,12,1,0,10,2,0.21311475409836064
91430,60017,La Victoria,Amazonas,2,61,12,1,0,10,2,0.21311475409836064
91430,60017,La Victoria,Amazonas,3,61,12,1,0,10,2,0.21311475409836064
91430,60017,La Victoria,Amazonas,4,61,12,1,0,10,2,0.21311475409836064
91430,60017,La Victoria,Amazonas,5,61,12,1,0,10,2,0.21311475409836064
91430,60017,La Victoria,Amazonas,6,61,12,1,0,10,2,0.21311475409836064
91430,60017,La Victoria,Amazonas,7,61,12,1,0,10,2,0.21311475409836064
91001,60001,Leticia,Amazonas,1,36494,6894,16,155,6804,90,0.1935934674193018
91001,60001,Leticia,Amazonas,2,36494,6882,15,166,6815,67,0.19353866388995453
91001,60001,Leticia,Amazonas,3,36494,6870,11,184,6802,68,0.1935934674193018
91001,60001,Leticia,Amazonas,4,36494,6868,9,190,6809,59,0.1936482709486491
91001,60001,Leticia,Amazonas,5,36494,6832,11,185,6786,46,0.19257960212637693
91001,60001,Leticia,Amazonas,6,36494,6859,11,196,6796,63,0.19362086918397545
91001,60001,Leticia,Amazonas,7,36494,6781,15,265,6691,90,0.19348386036060722
91460,60019,Miriti Parana,Amazonas,1,456,75,0,3,74,1,0.17105263157894737
91460,60019,Miriti Parana,Amazonas,2,456,77,0,1,77,0,0.17105263157894737
91460,60019,Miriti Parana,Amazonas,3,456,74,0,4,74,0,0.17105263157894737
91460,60019,Miriti Parana,Amazonas,4,456,73,0,5,72,1,0.17105263157894737
91460,60019,Miriti Parana,Amazonas,5,456,73,0,5,72,1,0.17105263157894737
91460,60019,Miriti Parana,Amazonas,6,456,73,0,5,73,0,0.17105263157894737
91460,60019,Miriti Parana,Amazonas,7,456,72,0,6,69,3,0.17105263157894737
91530,60030,Puerto Alegria,Amazonas,1,264,64,0,0,64,0,0.24242424242424243
91530,60030,Puerto Alegria,Amazonas,2,264,63,0,1,63,0,0.24242424242424243
91530,60030,Puerto Alegria,Amazonas,3,264,63,0,1,63,0,0.24242424242424243
91530,60030,Puerto Alegria,Amazonas,4,264,61,0,3,61,0,0.24242424242424243
91530,60030,Puerto Alegria,Amazonas,5,264,63,0,1,63,0,0.24242424242424243
91530,60030,Puerto Alegria,Amazonas,6,264,63,0,1,63,0,0.24242424242424243
91530,60030,Puerto Alegria,Amazonas,7,264,63,0,1,61,2,0.24242424242424243
91536,60040,Puerto Arica,Amazonas,1,449,85,0,0,84,1,0.18930957683741648
91536,60040,Puerto Arica,Amazonas,2,449,85,0,0,84,1,0.18930957683741648
91536,60040,Puerto Arica,Amazonas,3,449,85,0,0,83,2,0.18930957683741648
91536,60040,Puerto Arica,Amazonas,4,449,84,0,1,83,1,0.18930957683741648
91536,60040,Puerto Arica,Amazonas,5,449,85,0,0,84,1,0.18930957683741648
91536,60040,Puerto Arica,Amazonas,6,449,85,0,0,84,1,0.18930957683741648
91536,60040,Puerto Arica,Amazonas,7,449,85,0,0,84,1,0.18930957683741648
91540,60007,Puerto Nariño,Amazonas,1,4495,593,11,40,572,21,0.1432703003337041
91540,60007,Puerto Nariño,Amazonas,2,4495,582,9,54,563,19,0.14349276974416017
91540,60007,Puerto Nariño,Amazonas,3,4495,573,7,63,553,20,0.14304783092324805
91540,60007,Puerto Nariño,Amazonas,4,4495,577,6,61,563,14,0.1432703003337041
91540,60007,Puerto Nariño,Amazonas,5,4495,573,6,65,562,11,0.1432703003337041
91540,60007,Puerto Nariño,Amazonas,6,4495,570,6,68,544,26,0.1432703003337041
91540,60007,Puerto Nariño,Amazonas,7,4495,563,9,72,537,26,0.1432703003337041
