departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
Boyaca,11927,Nobsa,7761,88,605,camara
Boyaca,4327,Paz De Rio,2228,71,147,camara
Valle,28231,Caicedonia,11610,520,1138,camara
Cundinamarca,11589,Anapoima,5185,153,380,camara
Huila,18816,Isnos,9440,562,741,camara
Cundinamarca,4304,Topaipi,2467,41,151,camara
Sucre,20857,Sucre,12843,454,549,camara
Norte De San,7166,San Calixto,3632,138,240,camara
Cordoba,14561,Cotorra (bongo),9907,287,598,camara
Bolivar,6855,Altos Del Rosario,3737,155,344,camara
Consulados,3735,Corea Del Sur,41,0,3,camara
Bolivar,10398,Hatillo De Loba,6176,70,329,camara
Cordoba,28813,San Andres De Sotavento,18507,1507,1214,camara
Santander,4176,La Paz,1830,85,151,camara
Arauca,11380,Fortul,5221,248,373,camara
Cordoba,312463,Monteria,173047,10102,14045,camara
Norte De San,9884,Teorama,4471,186,303,camara
Santander,4723,Valle De San Jose,2503,108,208,camara
Huila,6690,Teruel,3625,76,167,camara
Boyaca,4063,Gameza,1911,45,121,camara
Cordoba,36861,Chinu,25131,1293,1423,camara
Santander,2081,Santa Barbara,1092,64,70,camara
Nariño,6979,Iles,3745,127,277,camara
Antioquia,16144,Peñol,7237,244,465,camara
Cundinamarca,5491,Fosca,2476,64,145,camara
Bolivar,94165,Magangue,56684,1402,4168,camara
Nariño,9695,Policarpa,4258,162,337,camara
Nariño,14700,Ricaurte,5703,353,580,camara
Meta,11203,Guamal,6794,261,598,camara
Meta,4981,Cubarral,2576,94,182,camara
Antioquia,35381,Andes,15743,560,1150,camara
Valle,16777,Ginebra,8689,196,564,camara
Cauca,5216,Piamonte,2024,153,128,camara
Quindio,253950,Armenia,133313,3299,15192,camara
Cundinamarca,6103,Quipile,2843,89,195,camara
Santander,2204,San Miguel,979,67,68,camara
Boyaca,2405,Sativanorte,1079,34,101,camara
Nariño,6218,Cumbitara,2781,122,189,camara
Nariño,7215,Cuaspud (carlosama),4212,260,239,camara
Cundinamarca,8997,Arbelaez,4588,134,344,camara
Boyaca,2287,Rondon,1228,20,79,camara
Choco,21442,Istmina,10546,474,1213,camara
Sucre,20750,Ovejas,14752,948,757,camara
Cundinamarca,7874,San Bernardo,3343,102,207,camara
Consulados,5263,Suecia,277,6,14,camara
Nariño,16173,Sandona,10851,414,699,camara
Cundinamarca,8706,La Palma,3601,145,234,camara
Cauca,16215,Buenos Aires,6915,708,784,camara
Norte De San,4929,Gramalote,2722,73,192,camara
Consulados,4385,Bolivia,155,2,17,camara
Sucre,4495,Chalan,2909,283,191,camara
Tolima,8720,Carmen De Apicala,4131,127,385,camara
Consulados,3615,Argelia,5,0,0,camara
Caldas,10621,Risaralda,4638,311,365,camara
Cauca,15885,Balboa,6691,339,449,camara
Tolima,24004,Ortega,10939,575,915,camara
Bolivar,20714,San Jacinto,12327,465,779,camara
Meta,6456,Puerto Lleras,2732,152,222,camara
Meta,4889,Cabuyaro,2711,110,187,camara
Boyaca,3093,Chinavita,1293,31,92,camara
Santander,4350,Guadalupe,1952,122,147,camara
Casanare,6893,Pore,4027,92,177,camara
Casanare,9389,Trinidad,5693,132,258,camara
Consulados,137430,España,12359,204,785,camara
Nariño,24048,Cumbal,13419,440,647,camara
Cordoba,17610,Buenavista,9802,372,420,camara
Boyaca,6540,Otanche,2843,109,262,camara
Bolivar,10879,Clemencia,6371,200,505,camara
Vichada,3209,Santa Rosalia,1796,19,69,camara
Bolivar,16795,Pinillos,9929,329,643,camara
Magdalena,13281,El Piñon,7906,209,707,camara
Bolivar,36016,Mompos,20180,441,1029,camara
Consulados,3737,Polonia,43,0,2,camara
Cauca,32281,Puerto Tejada,15083,718,2660,camara
Cundinamarca,14501,Caqueza,6896,179,778,camara
Huila,6595,Villavieja,3817,138,321,camara
Cundinamarca,14798,Tenjo,7977,180,1207,camara
Huila,8131,Santa Maria,3980,155,214,camara
Cesar,26477,La Jagua De Ibirico,15639,578,1156,camara
Antioquia,8748,Titiribi,2988,119,295,camara
Nariño,16040,El Charco,6929,296,556,camara
Santander,21024,Sabana De Torres,9179,325,940,camara
Cundinamarca,7967,Sesquile,4558,163,724,camara
Nariño,9656,Potosi,5516,178,312,camara
Tolima,6767,Dolores,3025,153,200,camara
Cundinamarca,4235,Supata,2065,44,131,camara
Cordoba,16455,Canalete,9106,560,468,camara
Choco,7422,El Litoral Del San Juan,3281,47,299,camara
Valle,4692,Ulloa,2232,108,176,camara
Nariño,21128,Barbacoas,8035,431,897,camara
Norte De San,20658,El Zulia,11242,236,969,camara
Caqueta,9168,San Jose Del Fragua,3952,143,215,camara
Boyaca,5469,Sotaquira,2915,79,252,camara
Consulados,4070,Portugal,132,0,8,camara
Santander,7606,Mogotes,3581,132,375,camara
Arauca,33644,Saravena,15145,639,1361,camara
Boyaca,2558,La Uvita,1082,33,64,camara
Risaralda,159074,Dosquebradas,84207,2142,9829,camara
Magdalena,14502,Nueva Granada,9016,222,675,camara
