,código,municipio,departamento,mesas,total_mesas,votantes,total_votantes,votos_por_candidato,votos_en_blanco,votos_nulos,votos_no_marcados,iván duque,gustavo petro,sergio fajardo,germán vargas lleras,humberto de la calle,promotores voto en blanco,viviane morales,jorge antonio trujillo sarmiento,cod_depto,cod_mun
0,60010,El Encanto,Amazonas,3,3,308,776,303,3,2,0,50,190,14,39,8,0,1,1,91,91263
1,60013,La Chorrera,Amazonas,3,3,565,969,557,3,1,4,44,470,15,19,7,2,0,0,91,91405
2,60016,La Pedrera,Amazonas,3,3,231,965,229,0,2,0,21,150,20,29,9,0,0,0,91,91407
3,60017,La Victoria,Amazonas,1,1,19,61,18,1,0,0,2,14,1,0,1,0,0,0,91,91430
4,60001,Leticia,Amazonas,97,97,14555,36216,14136,259,123,37,6154,3821,2523,853,652,17,43,73,91,91001
5,60019,Miriti Parana,Amazonas,2,2,77,456,77,0,0,0,4,59,2,5,7,0,0,0,91,91460
6,60030,Puerto Alegria,Amazonas,1,1,75,264,73,1,0,1,34,31,6,1,1,0,0,0,91,91530
7,60040,Puerto Arica,Amazonas,2,2,146,450,146,0,0,0,32,98,4,6,5,0,0,1,91,91536
8,60007,Puerto Nariño,Amazonas,12,12,1911,4456,1870,22,12,7,651,839,84,244,36,0,7,9,91,91540
9,60021,Puerto Santander,Amazonas,2,2,168,595,165,1,2,0,27,85,3,47,2,0,0,1,91,91669
10,60022,Tarapaca,Amazonas,4,4,369,1356,355,9,3,2,95,174,21,52,11,0,0,2,91,91798
11,1004,Abejorral,Antioquia,44,44,6489,14967,6239,77,89,84,4496,178,1097,347,72,11,24,14,5,5002
12,1007,Abriaqui,Antioquia,6,6,994,1913,975,10,3,6,828,11,89,27,15,1,2,2,5,5004
13,1010,Alejandria,Antioquia,12,12,2205,4549,2131,45,17,12,1513,72,312,126,96,3,8,1,5,5021
14,1013,Amaga,Antioquia,60,60,10452,22350,10034,225,153,40,5459,598,3298,450,179,22,13,15,5,5030
15,1016,Amalfi,Antioquia,47,47,6073,17182,5747,178,86,62,3354,257,1639,298,136,18,11,34,5,5031
16,1019,Andes,Antioquia,88,88,15501,34753,15066,197,175,63,9733,721,2848,1564,129,17,35,19,5,5034
17,1022,Angelopolis,Antioquia,17,17,2566,5812,2475,42,28,21,1722,87,485,89,67,9,10,6,5,5036
18,1025,Angostura,Antioquia,26,26,2966,9079,2733,70,94,69,1841,117,634,68,47,8,5,13,5,5038
19,1028,Anori,Antioquia,34,34,3086,11628,2906,109,39,32,1394,432,819,95,127,13,15,11,5,5040
20,1031,Antioquia,Antioquia,59,59,9964,20540,9395,306,205,58,5791,772,2186,357,228,23,17,21,5,5042
21,1034,Anza,Antioquia,17,17,2475,5771,2375,39,38,23,1872,61,269,107,46,3,6,11,5,5044
22,1035,Apartado,Antioquia,241,241,43379,92620,41112,1447,640,180,15171,16836,6653,1377,666,116,98,195,5,5045
23,1037,Arboletes,Antioquia,63,63,10167,22416,9908,91,124,44,4366,2788,670,1861,113,18,53,39,5,5051
24,1039,Argelia,Antioquia,21,21,2977,6570,2904,28,26,19,2580,93,134,57,22,2,9,7,5,5055
25,1040,Armenia,Antioquia,13,13,1895,4688,1808,37,38,12,1285,109,165,135,68,4,10,32,5,5059
26,1043,Barbosa,Antioquia,111,111,21247,40499,20091,539,442,175,10186,1639,6814,861,383,58,34,116,5,5079
27,1049,Bello,Antioquia,819,819,185715,331836,178555,4226,2334,600,86219,15947,62845,7727,3960,1022,293,542,5,5088
28,1046,Belmira,Antioquia,15,15,2264,4750,2167,58,30,9,1321,61,540,92,129,12,4,8,5,5086
29,1052,Betania,Antioquia,23,23,3048,8342,2971,30,22,25,2228,95,440,129,56,3,13,7,5,5091
30,1055,Betulia,Antioquia,37,37,5153,13332,4956,94,59,44,4064,146,459,172,72,11,20,12,5,5093
31,1058,Bolivar,Antioquia,66,66,10937,23836,10565,210,101,61,7935,610,1400,353,188,15,26,38,5,5101
32,1062,Briceño,Antioquia,22,22,2125,6610,1977,66,44,38,674,175,598,395,104,7,5,19,5,5107
33,1061,Buritica,Antioquia,21,21,2907,7299,2772,59,48,28,1538,223,580,295,111,4,7,14,5,5113
34,1064,Caceres,Antioquia,54,54,5506,19548,5275,107,85,39,2124,1657,823,444,160,10,23,34,5,5120
35,1067,Caicedo,Antioquia,17,17,2801,6267,2674,73,30,24,1856,175,432,108,72,8,15,8,5,5125
36,1070,Caldas,Antioquia,172,172,38685,63501,36929,983,694,79,15804,2346,15786,1700,912,161,61,159,5,5129
37,1073,Campamento,Antioquia,19,19,1879,6625,1739,89,33,18,908,144,322,305,43,4,3,10,5,5134
38,1078,Caracoli,Antioquia,15,15,1724,4710,1591,58,60,15,999,176,257,77,72,3,5,2,5,5142
39,1079,Caramanta,Antioquia,15,15,2473,4992,2396,33,29,15,1281,75,964,35,33,4,2,2,5,5145
40,1080,Carepa,Antioquia,117,117,18360,42614,17506,462,288,104,7094,6178,2822,836,286,42,190,58,5,5147
41,1082,Carmen De Viboral,Antioquia,101,101,24685,36226,23554,487,362,282,12048,2150,8182,530,470,38,99,37,5,5148
42,1085,Carolina,Antioquia,12,12,1804,4049,1705,51,39,9,957,164,353,113,45,45,21,7,5,5150
43,1088,Caucasia,Antioquia,192,192,31434,68594,29831,772,683,148,12799,9091,4931,1952,512,206,138,202,5,5154
44,1076,Cañasgordas,Antioquia,37,37,6708,13434,6444,125,86,53,5244,228,585,267,71,15,13,21,5,5138
45,1106,Chigorodo,Antioquia,104,104,20181,46034,18816,640,383,342,6980,6717,2983,1486,295,49,221,85,5,5172
46,1091,Cisneros,Antioquia,31,31,4943,11528,4655,161,88,39,2663,247,1172,189,321,18,18,27,5,5190
47,1094,Cocorna,Antioquia,38,38,7505,13259,7325,55,66,59,5943,265,621,160,68,242,16,10,5,5197
