código,municipio,departamento,mesas,total_mesas,votantes,total_votantes,votos_por_candidato,votos_en_blanco,votos_nulos,votos_no_marcados,iván duque,gustavo petro,dane
60010,El Encanto,Amazonas,3,3,296,776,288,3,2,3,107,181,91263
60013,La Chorrera,Amazonas,3,3,563,969,560,2,1,0,78,482,91405
60016,La Pedrera,Amazonas,3,3,249,965,248,1,0,0,66,182,91407
60017,La Victoria,Amazonas,1,1,17,61,16,1,0,0,5,11,91430
60001,Leticia,Amazonas,93,97,15198,36216,14611,421,134,32,8370,6241,91001
60019,Miriti Parana,Amazonas,2,2,84,456,84,0,0,0,12,72,91460
60030,Puerto Alegria,Amazonas,1,1,73,264,72,0,0,1,32,40,91530
60040,Puerto Arica,Amazonas,2,2,145,450,142,2,0,1,58,84,91536
60007,Puerto Nariño,Amazonas,12,12,2138,4456,2081,30,21,6,874,1207,91540
60021,Puerto Santander,Amazonas,2,2,166,595,163,2,1,0,48,115,91669
60022,Tarapaca,Amazonas,4,4,432,1356,420,7,3,2,146,274,91798
01004,Abejorral,Antioquia,44,44,7397,14967,7119,174,68,36,6572,547,5002
01007,Abriaqui,Antioquia,6,6,1056,1913,1018,27,1,10,975,43,5004
01010,Alejandria,Antioquia,12,12,2343,4549,2234,84,14,11,2018,216,5021
01013,Amaga,Antioquia,59,60,10578,22350,9749,580,210,39,8075,1674,5030
01016,Amalfi,Antioquia,47,47,6392,17182,5922,354,93,23,5162,760,5031
01019,Andes,Antioquia,80,88,14968,34753,14312,464,167,25,12441,1871,5034
01022,Angelopolis,Antioquia,17,17,2677,5812,2552,89,26,10,2284,268,5036
01025,Angostura,Antioquia,25,26,3217,9079,2972,139,82,24,2708,264,5038
01028,Anori,Antioquia,34,34,3325,11628,3043,220,38,24,2217,826,5040
01031,Antioquia,Antioquia,59,59,10271,20540,9507,511,201,52,7737,1770,5042
01034,Anza,Antioquia,16,17,2758,5771,2656,69,22,11,2463,193,5044
01035,Apartado,Antioquia,232,241,41539,92620,38939,1951,565,84,18538,20401,5045
01037,Arboletes,Antioquia,60,63,10490,22416,10208,159,93,30,6284,3924,5051
01039,Argelia,Antioquia,21,21,3334,6570,3258,54,14,8,3124,134,5055
01040,Armenia,Antioquia,13,13,2068,4688,1954,68,37,9,1739,215,5059
01043,Barbosa,Antioquia,109,111,20518,40499,18543,1203,517,255,14229,4314,5079
01049,Bello,Antioquia,812,819,179755,331836,165336,10898,3311,210,123947,41389,5088
01046,Belmira,Antioquia,15,15,2269,4750,2126,100,32,11,1904,222,5086
01052,Betania,Antioquia,20,23,3031,8342,2951,47,25,8,2706,245,5091
01055,Betulia,Antioquia,37,37,6284,13332,6079,122,57,26,5784,295,5093
01058,Bolivar,Antioquia,63,66,11215,23836,10782,318,88,27,9678,1104,5101
01062,Briceño,Antioquia,22,22,2210,6610,1960,156,62,32,1360,600,5107
01061,Buritica,Antioquia,21,21,2930,7299,2729,120,57,24,2211,518,5113
01064,Caceres,Antioquia,54,54,5556,19548,5314,140,79,23,2853,2461,5120
01067,Caicedo,Antioquia,17,17,3134,6267,2984,94,34,22,2659,325,5125
01070,Caldas,Antioquia,168,172,36453,63501,32405,2857,1123,68,24024,8381,5129
01073,Campamento,Antioquia,19,19,1934,6625,1833,68,19,14,1581,252,5134
01078,Caracoli,Antioquia,15,15,1854,4710,1746,83,21,4,1448,298,5142
01079,Caramanta,Antioquia,15,15,2432,4992,2299,93,33,7,1947,352,5145
01080,Carepa,Antioquia,116,117,18048,42614,17025,700,279,44,8632,8393,5147
01082,Carmen De Viboral,Antioquia,101,101,23960,36226,22170,1278,447,65,16807,5363,5148
01085,Carolina,Antioquia,12,12,1899,4049,1754,104,39,2,1515,239,5150
01088,Caucasia,Antioquia,191,192,29634,68594,27932,1063,568,71,16018,11914,5154
01076,Cañasgordas,Antioquia,37,37,7262,13434,6955,192,95,20,6434,521,5138
01106,Chigorodo,Antioquia,103,104,19133,46034,18004,745,329,55,8939,9065,5172
01091,Cisneros,Antioquia,31,31,5070,11528,4666,284,96,24,3902,764,5190
01094,Cocorna,Antioquia,38,38,7614,13259,7377,162,53,22,6749,628,5197
01097,Concepcion,Antioquia,12,12,2229,4294,2142,61,17,9,1974,168,5206
01100,Concordia,Antioquia,43,43,6906,15881,6620,205,50,31,6120,500,5209
01103,Copacabana,Antioquia,176,178,36264,66571,33011,2441,756,56,23802,9209,5212
01109,Dabeiba,Antioquia,48,48,6620,17541,6253,205,123,39,4581,1672,5234
01112,Don Matias,Antioquia,47,47,9098,17033,8604,380,95,19,7706,898,5237
01115,Ebejico,Antioquia,32,32,5416,11258,5077,174,69,96,4599,478,5240
01117,El Bagre,Antioquia,98,99,12373,36574,11648,493,199,33,7767,3881,5250
01118,Entrerrios,Antioquia,22,23,4412,8462,4078,277,48,9,3556,522,5264
01121,Envigado,Antioquia,605,605,145705,241042,135100,8713,1774,118,109059,26041,5266
01124,Fredonia,Antioquia,52,53,7767,18205,7181,413,145,28,5838,1343,5282
01127,Frontino,Antioquia,45,51,5566,16854,5153,246,131,36,4152,1001,5284
01130,Giraldo,Antioquia,10,12,2047,4342,1925,89,28,5,1461,464,5306
01133,Girardota,Antioquia,121,132,23512,49817,21029,1766,663,54,14937,6092,5308
01136,Gomez Plata,Antioquia,24,24,4202,8435,3972,142,69,19,3589,383,5310
01139,Granada,Antioquia,28,28,5337,10039,5126,159,35,17,4712,414,5313
01140,Guadalupe,Antioquia,18,18,2083,5752,1909,109,38,27,1545,364,5315
01142,Guarne,Antioquia,93,96,22269,34883,20566,1293,357,53,16903,3663,5318
01145,Guatape,Antioquia,17,18,4327,6871,4102,174,45,6,3423,679,5321
01148,Heliconia,Antioquia,17,18,2578,6032,2426,95,48,9,2154,272,5347
01150,Hispania,Antioquia,15,15,2449,5366,2336,90,17,6,1976,360,5353
01151,Itagui,Antioquia,613,627,135626,253471,124194,8634,2597,201,95247,28947,5360
01154,Ituango,Antioquia,56,57,4303,17607,3776,336,120,71,2569,1207,5361
01157,Jardin,Antioquia,31,34,6853,12392,6492,296,50,15,5133,1359,5364
